id,text,file,node,lineNumber
line:284620bb,ぼく: う、うう…,/Users/abab/Desktop/escape_game/yarn/story.yarn,Start,13
line:be7627cc,頭が ガンガン する。,/Users/abab/Desktop/escape_game/yarn/story.yarn,Start,14
line:04272e55,ぼく: ここは… どこだ？,/Users/abab/Desktop/escape_game/yarn/story.yarn,Start,15
line:92172922,見たことのない 部屋だ。,/Users/abab/Desktop/escape_game/yarn/story.yarn,Start,16
line:31824dbc,古びた 引き出しと、,/Users/abab/Desktop/escape_game/yarn/story.yarn,Start,17
line:a7b24acb,重そうな ドアが ある。,/Users/abab/Desktop/escape_game/yarn/story.yarn,Start,18
line:1de34352,ぼく: とにかく、出口を 探さないと。,/Users/abab/Desktop/escape_game/yarn/story.yarn,Start,19
line:4d1bfe6a,引き出しの 中は からっぽだ。,/Users/abab/Desktop/escape_game/yarn/story.yarn,Hotspot_demo_room_drawer,29
line:7bad63e4,引き出しを そっと 開けた。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerFirst,36
line:ed9d6493,中に 1枚の 紙きれが ある。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerFirst,37
line:71af2ae2,ぼく: なになに…？,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerFirst,38
line:e79f2d95,ぼく: 「光は 影に 隠される。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerFirst,39
line:5dce240c,鍵は その 真下に あり。」,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerFirst,40
line:cbfe237b,ぼく: ……どういう 意味だろう。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerFirst,41
line:686b47e5,引き出しを もっと 調べる,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerFirst,43
line:fe5b4092,一旦 閉じる,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerFirst,45
line:440a490b,引き出しを そっと 閉じた。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerFirst,46
line:0d9100f0,ぼく: もう一度 よく 見てみよう…,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerSecondLook,51
line:9c8cbf60,ぼく: ……ん？,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerSecondLook,53
line:0abcb817,底板が 少し 浮いている。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerSecondLook,54
line:6d574945,底板を 持ち上げる,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerSecondLook,55
line:fb674e32,やめておく,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerSecondLook,57
line:413647ab,ぼく: …気のせい かもしれない。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DrawerSecondLook,58
line:6e025ea0,底板を そっと 外すと、,/Users/abab/Desktop/escape_game/yarn/story.yarn,FindKey,65
line:cd973a3e,下から 古びた 鍵が 出てきた。,/Users/abab/Desktop/escape_game/yarn/story.yarn,FindKey,66
line:5ba73d49,ぼく: これだ！,/Users/abab/Desktop/escape_game/yarn/story.yarn,FindKey,69
line:e1f634d0,ぼく: あの ドアを 開けられる かも しれない。,/Users/abab/Desktop/escape_game/yarn/story.yarn,FindKey,70
line:77c633a7,ぼく: インベントリから 鍵を 選んで、,/Users/abab/Desktop/escape_game/yarn/story.yarn,FindKey,71
line:e6db8c37,ドアに 使ってみよう。,/Users/abab/Desktop/escape_game/yarn/story.yarn,FindKey,72
line:607ac12b,ぼく: 鍵穴が ある。,/Users/abab/Desktop/escape_game/yarn/story.yarn,Hotspot_demo_room_door,82
line:85f3064b,ぼく: 持っている 鍵が 使えそうだ。,/Users/abab/Desktop/escape_game/yarn/story.yarn,Hotspot_demo_room_door,83
line:13c3013c,ぼく: インベントリから 鍵を 選択しよう。,/Users/abab/Desktop/escape_game/yarn/story.yarn,Hotspot_demo_room_door,84
line:d2f88493,ドアを 引いてみたが、,/Users/abab/Desktop/escape_game/yarn/story.yarn,DoorLocked,94
line:44c883e4,ガチャガチャと 鳴るだけだ。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DoorLocked,95
line:e75de77a,ぼく: 鍵が かかっている。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DoorLocked,96
line:716de00d,ぼく: 何度 試しても 同じだ。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DoorLocked,98
line:cb3ce994,ぼく: 鍵を 探さないと。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DoorLocked,99
line:5d0ceee3,ぼく: あの 引き出しの メモが 気になる。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DoorLocked,101
line:cc115173,ぼく: もう一度 調べてみるか。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DoorLocked,102
line:5a215604,ぼく: 部屋の 中に 何か 道具が あるはずだ。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DoorLocked,104
line:4e97669e,ぼく: この 鍵で 開けてみよう。,/Users/abab/Desktop/escape_game/yarn/story.yarn,UnlockDoor,110
line:d8a761e9,カチャリ。,/Users/abab/Desktop/escape_game/yarn/story.yarn,UnlockDoor,112
line:62f66870,鍵が 回り、ドアが ゆっくりと 解放された。,/Users/abab/Desktop/escape_game/yarn/story.yarn,UnlockDoor,116
line:f4c66f07,ぼく: 開いた！,/Users/abab/Desktop/escape_game/yarn/story.yarn,UnlockDoor,119
line:57530b99,部屋を 出る,/Users/abab/Desktop/escape_game/yarn/story.yarn,UnlockDoor,120
line:c1630cee,もう少し 残る,/Users/abab/Desktop/escape_game/yarn/story.yarn,UnlockDoor,122
line:7b320577,ぼく: せっかくだ、もう少し 部屋を 見てから 出よう。,/Users/abab/Desktop/escape_game/yarn/story.yarn,UnlockDoor,123
line:d2abe77c,ドアは 既に 開け 放たれている。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DoorOpen,128
line:43b658ec,部屋を 出る,/Users/abab/Desktop/escape_game/yarn/story.yarn,DoorOpen,129
line:d5865f9b,まだ 残る,/Users/abab/Desktop/escape_game/yarn/story.yarn,DoorOpen,131
line:300f98fb,ぼく: ……もう少しだけ。,/Users/abab/Desktop/escape_game/yarn/story.yarn,DoorOpen,132
line:9e620418,ぼく: 外の 風が 心地よい…,/Users/abab/Desktop/escape_game/yarn/story.yarn,Ending,139
line:24330d81,ぼく: ようやく、自由だ。,/Users/abab/Desktop/escape_game/yarn/story.yarn,Ending,141
line:b2030af6,～ END ～,/Users/abab/Desktop/escape_game/yarn/story.yarn,Ending,144
